variable,lower,median,upper,distribution,label,Description
other_animal_products_t_milk,44.4,NA,51.4,posnorm,Other animal products,Other animal products (EUR/ha) 
basic_subsidies_ha,158,NA,158,const,Income basis,Income basis (%) 
drought_chance,0.1,NA,0.3,tnorm_0_1,Drought probability,Drought probability (%) 
drought_effect,0.5,NA,0.8,tnorm_0_1,Relative yield during drought,Relative yield during drought (%) 
drought_effect_milk_production,0.7,NA,0.85,tnorm_0_1,Relative milk yield during drought without AF,Relative milk yield during drought without AF (%) 
AF_on_drought_effect_milk_production,0.02,NA,0.25,tnorm_0_1,Relative milk yield during drought AF,Relative milk yield during drought AF (%) 
drought_effect_poplar_production,0.6,NA,0.8,tnorm_0_1,Relative poplar yield during drought AF,Relative poplar yield during drought AF (%) 
drought_effect_poplar_died_chance_1stY,0.1,NA,0.3,tnorm_0_1,Probability of poplar dying year 1,Probability of poplar dying year 1 (%) 
drought_effect_poplar_died_chance_after_1stY,0.1,NA,0.5,tnorm_0_1,Probability of poplar dying after year 1,Probability of poplar dying after year 1 (%) 
drought_effect_poplar_died_perc_1stY,0.01,NA,0.1,tnorm_0_1,Share of poplar dying year 1,Share of poplar dying year 1 (%) 
drought_effect_poplar_died_perc_after_1stY,0.05,NA,0.3,tnorm_0_1,Share of poplar dying after year 1,Share of poplar dying after year 1 (%) 
drought_effect_poplar_died_yield_effect_perc,0.2,NA,0.4,tnorm_0_1,Factor of yield loss due to share of poplar dying,Factor of yield loss due to share of poplar dying (%) 
drought_effect_seed_costs_next_year,0.1,NA,0.4,tnorm_0_1,Increase in seed costs after a drought,Increase in seed costs after a drought (%) 
heat_stress_days_25GC_2025,2,NA,11,norm,Heat stress days in 2023-2027 25GC,Heat stress days in 2023-2027 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2025,1,NA,9,norm,Heat stress days in 2023-2027 26GC,Heat stress days in 2023-2027 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2025,1,NA,8,norm,Heat stress days in 2023-2027 27GC,Heat stress days in 2023-2027 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2025,0,NA,7,norm,Heat stress days in 2023-2027 28GC,Heat stress days in 2023-2027 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2025,0,NA,5,norm,Heat stress days in 2023-2027 29GC,Heat stress days in 2023-2027 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2025,0,NA,4,norm,Heat stress days in 2023-2027 30GC,Heat stress days in 2023-2027 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2025,0,NA,3,norm,Heat stress days in 2023-2027 31GC,Heat stress days in 2023-2027 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2025,0,NA,3,norm,Heat stress days in 2023-2027 32GC,Heat stress days in 2023-2027 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2025,0,NA,2,norm,Heat stress days in 2023-2027 33GC,Heat stress days in 2023-2027 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 34GC,Heat stress days in 2023-2027 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 35GC,Heat stress days in 2023-2027 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 36GC,Heat stress days in 2023-2027 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2030,2,NA,12,norm,Heat stress days in 2028-2032 25GC,Heat stress days in 2028-2032 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2030,2,NA,9,norm,Heat stress days in 2028-2032 26GC,Heat stress days in 2028-2032 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2030,1,NA,8,norm,Heat stress days in 2028-2032 27GC,Heat stress days in 2028-2032 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2030,0,NA,7,norm,Heat stress days in 2028-2032 28GC,Heat stress days in 2028-2032 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2030,0,NA,6,norm,Heat stress days in 2028-2032 29GC,Heat stress days in 2028-2032 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2030,0,NA,4,norm,Heat stress days in 2028-2032 30GC,Heat stress days in 2028-2032 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2030,0,NA,3,norm,Heat stress days in 2028-2032 31GC,Heat stress days in 2028-2032 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2030,0,NA,2,norm,Heat stress days in 2028-2032 32GC,Heat stress days in 2028-2032 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2030,0,NA,2,norm,Heat stress days in 2028-2032 33GC,Heat stress days in 2028-2032 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 34GC,Heat stress days in 2028-2032 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 35GC,Heat stress days in 2028-2032 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 36GC,Heat stress days in 2028-2032 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2035,2,NA,12,norm,Heat stress days in 2033-2037 25GC,Heat stress days in 2033-2037 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2035,2,NA,10,norm,Heat stress days in 2033-2037 26GC,Heat stress days in 2033-2037 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2035,1,NA,8,norm,Heat stress days in 2033-2037 27GC,Heat stress days in 2033-2037 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2035,1,NA,7,norm,Heat stress days in 2033-2037 28GC,Heat stress days in 2033-2037 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2035,0,NA,6,norm,Heat stress days in 2033-2037 29GC,Heat stress days in 2033-2037 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2035,0,NA,5,norm,Heat stress days in 2033-2037 30GC,Heat stress days in 2033-2037 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2035,0,NA,3,norm,Heat stress days in 2033-2037 31GC,Heat stress days in 2033-2037 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2035,0,NA,3,norm,Heat stress days in 2033-2037 32GC,Heat stress days in 2033-2037 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2035,0,NA,2,norm,Heat stress days in 2033-2037 33GC,Heat stress days in 2033-2037 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 34GC,Heat stress days in 2033-2037 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 35GC,Heat stress days in 2033-2037 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 36GC,Heat stress days in 2033-2037 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2040,3,NA,13,norm,Heat stress days in 2038-2042 25GC,Heat stress days in 2038-2042 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2040,2,NA,10,norm,Heat stress days in 2038-2042 26GC,Heat stress days in 2038-2042 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2040,1,NA,9,norm,Heat stress days in 2038-2042 27GC,Heat stress days in 2038-2042 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2040,1,NA,7,norm,Heat stress days in 2038-2042 28GC,Heat stress days in 2038-2042 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2040,0,NA,6,norm,Heat stress days in 2038-2042 29GC,Heat stress days in 2038-2042 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2040,0,NA,5,norm,Heat stress days in 2038-2042 30GC,Heat stress days in 2038-2042 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2040,0,NA,3,norm,Heat stress days in 2038-2042 31GC,Heat stress days in 2038-2042 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2040,0,NA,3,norm,Heat stress days in 2038-2042 32GC,Heat stress days in 2038-2042 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2040,0,NA,2,norm,Heat stress days in 2038-2042 33GC,Heat stress days in 2038-2042 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 34GC,Heat stress days in 2038-2042 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 35GC,Heat stress days in 2038-2042 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 36GC,Heat stress days in 2038-2042 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2045,3,NA,13,norm,Heat stress days in 2043-2047 25GC,Heat stress days in 2043-2047 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2045,2,NA,11,norm,Heat stress days in 2043-2047 26GC,Heat stress days in 2043-2047 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2045,1,NA,9,norm,Heat stress days in 2043-2047 27GC,Heat stress days in 2043-2047 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2045,1,NA,8,norm,Heat stress days in 2043-2047 28GC,Heat stress days in 2043-2047 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2045,0,NA,7,norm,Heat stress days in 2043-2047 29GC,Heat stress days in 2043-2047 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2045,0,NA,5,norm,Heat stress days in 2043-2047 30GC,Heat stress days in 2043-2047 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2045,0,NA,4,norm,Heat stress days in 2043-2047 31GC,Heat stress days in 2043-2047 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2045,0,NA,3,norm,Heat stress days in 2043-2047 32GC,Heat stress days in 2043-2047 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2045,0,NA,3,norm,Heat stress days in 2043-2047 33GC,Heat stress days in 2043-2047 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2045,0,NA,2,norm,Heat stress days in 2043-2047 34GC,Heat stress days in 2043-2047 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2045,0,NA,1,norm,Heat stress days in 2043-2047 35GC,Heat stress days in 2043-2047 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2045,0,NA,1,norm,Heat stress days in 2043-2047 36GC,Heat stress days in 2043-2047 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2050,3,NA,14,norm,Heat stress days in 2048-2052 25GC,Heat stress days in 2048-2052 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2050,2,NA,11,norm,Heat stress days in 2048-2052 26GC,Heat stress days in 2048-2052 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2050,1,NA,9,norm,Heat stress days in 2048-2052 27GC,Heat stress days in 2048-2052 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2050,1,NA,8,norm,Heat stress days in 2048-2052 28GC,Heat stress days in 2048-2052 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2050,0,NA,7,norm,Heat stress days in 2048-2052 29GC,Heat stress days in 2048-2052 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2050,0,NA,5,norm,Heat stress days in 2048-2052 30GC,Heat stress days in 2048-2052 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2050,0,NA,4,norm,Heat stress days in 2048-2052 31GC,Heat stress days in 2048-2052 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2050,0,NA,3,norm,Heat stress days in 2048-2052 32GC,Heat stress days in 2048-2052 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2050,0,NA,3,norm,Heat stress days in 2048-2052 33GC,Heat stress days in 2048-2052 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2050,0,NA,2,norm,Heat stress days in 2048-2052 34GC,Heat stress days in 2048-2052 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2050,0,NA,1,norm,Heat stress days in 2048-2052 35GC,Heat stress days in 2048-2052 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2050,0,NA,1,norm,Heat stress days in 2048-2052 36GC,Heat stress days in 2048-2052 36GC (days/yr at this temp) From CMIP 6
AF_on_days_25GC_5_10,0,NA,1,norm,AF 5_10 reduction of heat stress days 25GC,AF 5_10 reduction of heat stress days 25GC (days/yr) 
AF_on_days_25GC_10_15,0,NA,1,norm,AF 10_15 reduction of heat stress days 25GC,AF 10_15 reduction of heat stress days 25GC (days/yr) 
AF_on_days_25GC_15_20,1,NA,2,norm,AF 15_20 reduction of heat stress days 25GC,AF 15_20 reduction of heat stress days 25GC (days/yr) 
AF_on_days_25GC_20_25,1,NA,2,norm,AF 20_25 reduction of heat stress days 25GC,AF 20_25 reduction of heat stress days 25GC (days/yr) 
AF_on_days_26GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 26GC,AF 5_10 reduction of heat stress days 26GC (days/yr) 
AF_on_days_26GC_10_15,1,NA,2,norm,AF 10_15 reduction of heat stress days 26GC,AF 10_15 reduction of heat stress days 26GC (days/yr) 
AF_on_days_26GC_15_20,1,NA,2,norm,AF 15_20 reduction of heat stress days 26GC,AF 15_20 reduction of heat stress days 26GC (days/yr) 
AF_on_days_26GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 26GC,AF 20_25 reduction of heat stress days 26GC (days/yr) 
AF_on_days_27GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 27GC,AF 5_10 reduction of heat stress days 27GC (days/yr) 
AF_on_days_27GC_10_15,1,NA,2,norm,AF 10_15 reduction of heat stress days 27GC,AF 10_15 reduction of heat stress days 27GC (days/yr) 
AF_on_days_27GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 27GC,AF 15_20 reduction of heat stress days 27GC (days/yr) 
AF_on_days_27GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 27GC,AF 20_25 reduction of heat stress days 27GC (days/yr) 
AF_on_days_28GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 28GC,AF 5_10 reduction of heat stress days 28GC (days/yr) 
AF_on_days_28GC_10_15,1,NA,2,norm,AF 10_15 reduction of heat stress days 28GC,AF 10_15 reduction of heat stress days 28GC (days/yr) 
AF_on_days_28GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 28GC,AF 15_20 reduction of heat stress days 28GC (days/yr) 
AF_on_days_28GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 28GC,AF 20_25 reduction of heat stress days 28GC (days/yr) 
AF_on_days_29GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 29GC,AF 5_10 reduction of heat stress days 29GC (days/yr) 
AF_on_days_29GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 29GC,AF 10_15 reduction of heat stress days 29GC (days/yr) 
AF_on_days_29GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 29GC,AF 15_20 reduction of heat stress days 29GC (days/yr) 
AF_on_days_29GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 29GC,AF 20_25 reduction of heat stress days 29GC (days/yr) 
AF_on_days_30GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 30GC,AF 5_10 reduction of heat stress days 30GC (days/yr) 
AF_on_days_30GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 30GC,AF 10_15 reduction of heat stress days 30GC (days/yr) 
AF_on_days_30GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 30GC,AF 15_20 reduction of heat stress days 30GC (days/yr) 
AF_on_days_30GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 30GC,AF 20_25 reduction of heat stress days 30GC (days/yr) 
AF_on_days_31GC_5_10,1,NA,2,norm,AF 5_10 reduction of heat stress days 31GC,AF 5_10 reduction of heat stress days 31GC (days/yr) 
AF_on_days_31GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 31GC,AF 10_15 reduction of heat stress days 31GC (days/yr) 
AF_on_days_31GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 31GC,AF 15_20 reduction of heat stress days 31GC (days/yr) 
AF_on_days_31GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 31GC,AF 20_25 reduction of heat stress days 31GC (days/yr) 
AF_on_days_32GC_5_10,2,NA,3,norm,AF 5_10 reduction of heat stress days 32GC,AF 5_10 reduction of heat stress days 32GC (days/yr) 
AF_on_days_32GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 32GC,AF 10_15 reduction of heat stress days 32GC (days/yr) 
AF_on_days_32GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 32GC,AF 15_20 reduction of heat stress days 32GC (days/yr) 
AF_on_days_32GC_20_25,2,NA,3,norm,AF 20_25 reduction of heat stress days 32GC,AF 20_25 reduction of heat stress days 32GC (days/yr) 
AF_on_days_33GC_5_10,2,NA,3,norm,AF 5_10 reduction of heat stress days 33GC,AF 5_10 reduction of heat stress days 33GC (days/yr) 
AF_on_days_33GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 33GC,AF 10_15 reduction of heat stress days 33GC (days/yr) 
AF_on_days_33GC_15_20,2,NA,3,norm,AF 15_20 reduction of heat stress days 33GC,AF 15_20 reduction of heat stress days 33GC (days/yr) 
AF_on_days_33GC_20_25,3,NA,4,norm,AF 20_25 reduction of heat stress days 33GC,AF 20_25 reduction of heat stress days 33GC (days/yr) 
AF_on_days_34GC_5_10,2,NA,3,norm,AF 5_10 reduction of heat stress days 34GC,AF 5_10 reduction of heat stress days 34GC (days/yr) 
AF_on_days_34GC_10_15,2,NA,3,norm,AF 10_15 reduction of heat stress days 34GC,AF 10_15 reduction of heat stress days 34GC (days/yr) 
AF_on_days_34GC_15_20,3,NA,4,norm,AF 15_20 reduction of heat stress days 34GC,AF 15_20 reduction of heat stress days 34GC (days/yr) 
AF_on_days_34GC_20_25,3,NA,4,norm,AF 20_25 reduction of heat stress days 34GC,AF 20_25 reduction of heat stress days 34GC (days/yr) 
AF_on_days_35GC_5_10,2,NA,3,norm,AF 5_10 reduction of heat stress days 35GC,AF 5_10 reduction of heat stress days 35GC (days/yr) 
AF_on_days_35GC_10_15,3,NA,4,norm,AF 10_15 reduction of heat stress days 35GC,AF 10_15 reduction of heat stress days 35GC (days/yr) 
AF_on_days_35GC_15_20,3,NA,4,norm,AF 15_20 reduction of heat stress days 35GC,AF 15_20 reduction of heat stress days 35GC (days/yr) 
AF_on_days_35GC_20_25,3,NA,4,norm,AF 20_25 reduction of heat stress days 35GC,AF 20_25 reduction of heat stress days 35GC (days/yr) 
AF_on_days_36GC_5_10,2,NA,3,norm,AF 5_10 reduction of heat stress days 36GC,AF 5_10 reduction of heat stress days 36GC (days/yr) 
AF_on_days_36GC_10_15,3,NA,4,norm,AF 10_15 reduction of heat stress days 36GC,AF 10_15 reduction of heat stress days 36GC (days/yr) 
AF_on_days_36GC_15_20,3,NA,4,norm,AF 15_20 reduction of heat stress days 36GC,AF 15_20 reduction of heat stress days 36GC (days/yr) 
AF_on_days_36GC_20_25,3,NA,4,norm,AF 20_25 reduction of heat stress days 36GC,AF 20_25 reduction of heat stress days 36GC (days/yr) 
THI_heat_stress_25GC,0,NA,1.5,norm,Heat stress-inducing THI points 25GC,Heat stress-inducing THI points 25GC (Thermal Heat Index (THI)) 
THI_heat_stress_26GC,0,NA,2.95,norm,Heat stress-inducing THI points 26GC,Heat stress-inducing THI points 26GC (Thermal Heat Index (THI)) 
THI_heat_stress_27GC,0,NA,4.4,norm,Heat stress-inducing THI points 27GC,Heat stress-inducing THI points 27GC (Thermal Heat Index (THI)) 
THI_heat_stress_28GC,0.67,NA,5.86,norm,Heat stress-inducing THI points 28GC,Heat stress-inducing THI points 28GC (Thermal Heat Index (THI)) 
THI_heat_stress_29GC,1.72,NA,7.31,posnorm,Heat stress-inducing THI points 29GC,Heat stress-inducing THI points 29GC (Thermal Heat Index (THI)) 
THI_heat_stress_30GC,2.78,NA,8.76,posnorm,Heat stress-inducing THI points 30GC,Heat stress-inducing THI points 30GC (Thermal Heat Index (THI)) 
THI_heat_stress_31GC,3.84,NA,10.2,posnorm,Heat stress-inducing THI points 31GC,Heat stress-inducing THI points 31GC (Thermal Heat Index (THI)) 
THI_heat_stress_32GC,4.89,NA,11.7,posnorm,Heat stress-inducing THI points 32GC,Heat stress-inducing THI points 32GC (Thermal Heat Index (THI)) 
THI_heat_stress_33GC,5.95,NA,13.1,posnorm,Heat stress-inducing THI points 33GC,Heat stress-inducing THI points 33GC (Thermal Heat Index (THI)) 
THI_heat_stress_34GC,7.01,NA,14.6,posnorm,Heat stress-inducing THI points 34GC,Heat stress-inducing THI points 34GC (Thermal Heat Index (THI)) 
THI_heat_stress_35GC,8.07,NA,16,posnorm,Heat stress-inducing THI points 35GC,Heat stress-inducing THI points 35GC (Thermal Heat Index (THI)) 
THI_heat_stress_36GC,9.12,NA,17.5,posnorm,Heat stress-inducing THI points 36GC,Heat stress-inducing THI points 36GC (Thermal Heat Index (THI)) 
milk_reduction_heat_THI_kg_cow_day,0.2,NA,0.69,norm,Reduction in milk yield per THI point >72,Reduction in milk yield per THI point >72 (%) 
increased_veterinary_costs_heat_25GC_perc,0.01,NA,0.1,posnorm,Increase in veterinary costs due to heat stress 25GC,Increase in veterinary costs due to heat stress 25GC (% ) 
increased_veterinary_costs_heat_26GC_perc,0.02,NA,0.12,posnorm,Increase in veterinary costs due to heat stress 26GC,Increase in veterinary costs due to heat stress 26GC (% ) 
increased_veterinary_costs_heat_27GC_perc,0.03,NA,0.14,posnorm,Increase in veterinary costs due to heat stress 27GC,Increase in veterinary costs due to heat stress 27GC (% ) 
increased_veterinary_costs_heat_28GC_perc,0.05,NA,0.16,posnorm,Increase in veterinary costs due to heat stress 28GC,Increase in veterinary costs due to heat stress 28GC (% ) 
increased_veterinary_costs_heat_29GC_perc,0.07,NA,0.18,posnorm,Increase in veterinary costs due to heat stress 29GC,Increase in veterinary costs due to heat stress 29GC (% ) 
